Date,DIA,IWM
7/13/2023,2472300,23523000
7/14/2023,3292300,32165700
7/17/2023,2860000,23283700
7/18/2023,4626600,28551500
7/19/2023,5864300,23679000
7/20/2023,4561300,27278100
7/21/2023,2969000,28972100
7/24/2023,3073700,16929800
7/25/2023,2548700,18961100
7/26/2023,3084700,20377900
7/27/2023,4771000,31159300
7/28/2023,3219000,21612200
7/31/2023,2201400,24203900
8/1/2023,2581900,27444300
8/2/2023,5061000,28079700
8/3/2023,3307000,24279300
8/4/2023,4268300,24937100
8/7/2023,2390800,20185000
8/8/2023,3033600,25578200
8/9/2023,2873300,22293200
8/10/2023,4133500,29378800
8/11/2023,2601900,21789000
8/14/2023,3134100,20354900
8/15/2023,2818700,25491300
8/16/2023,3586800,27018400
8/17/2023,4804100,26715100
8/18/2023,3524900,33349400
8/21/2023,3176500,22678100
8/22/2023,2817000,21335800
8/23/2023,2605400,21231100
8/24/2023,3840800,26582300
8/25/2023,3868500,29340400
8/28/2023,2382700,23002000
8/29/2023,3107700,22986000
8/30/2023,2792900,19869900
8/31/2023,2901400,17953400
9/1/2023,2531700,25081400
9/5/2023,1906900,27160100
9/6/2023,2747200,26373400
